Title,Genres,Imdb Score,tags
7 Khoon Maaf,"['thriller', 'drama']",6.3/10,"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men â€“ only to find them flawed. thriller drama PriyankaChopra NeilNitinMukesh JohnAbraham IrrfanKhan AleksandrDyachenko AnnuKapoor NaseeruddinShah VivaanShah UshaUthup KonkonaSenSharma"
90 ML,"['musical', 'comedy', 'drama']",3.2/10,Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides. musical comedy drama Oviya MasoomShankar BommuLakshmi MonishaRam TejRaj ShreeGopika AnsonPaul DevadarshiniChetan
A Babysitter's Guide to Monster Hunting,['family'],5.2/10,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween. family TamaraSmart OonaLaurence TomFelton TroyLeigh-AnneJohnson LynnMasakoCheng TyConsiglio IanHo IndyaMoore AlessioScalzotto TamsenMcDonough"
A California Christmas,"['comedy', 'romance']",5.7/10,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her familyâ€™s land before Christmas. comedy romance LaurenSwickard JoshSwickard AliAfshar DavidDelRio NataliaMann KatelynEpperly GunnarAnderson JulieLancaster AmandaDetmer"
A Christmas Catch,"['romance', 'drama']",5.2/10,A cop working undercover to trail a possible diamond thief gets caught in a tricky spot when she finds new clues â€” and new feelings â€” for the suspect. romance drama EmilyAlatalo LaurenHolly YanicTruesdale FrancoLoPresti AndrewBushell GenelleWilliams KyanaTeresa EricHicks
A Cinderella Story: Christmas Wish,"['musical', 'comedy', 'family']",5.1/10,"Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle. musical comedy family LauraMarano GreggSulkin IsabellaGomez JohannahNewmarch LillianDoucet-Roche ChanellePeloso BarclayHope GarfieldWilson"
A Ghost Story,['drama'],6.7/10,"Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open. drama CaseyAffleck RooneyMara LizFranke RobZabrecky WillOldham SoniaAcevedo"
A Go! Go! Cory Carson Christmas,['family'],6.6/10,"When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone. family AlanC.Lim TaronC.Hensley MaisieBenson KerryGudjohnsen PaulKillam SmithForeman AnnKendrick EllaJoyBallesteros Neena-SinaiiSimpo EliMorse"
A Grand Night In: The Story of Aardman,['documentary'],7.5/10,"Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary. documentary JulieWalters"
A Haunted House 2,"['comedy', 'horror']",4.5/10,"Grieving after a tragedy, Malcolm tries to start fresh with his new girlfriend and her kids â€” but supernatural shenanigans find their way back to him. comedy horror MarlonWayans JaimePressly EssenceAtkins AffionCrockett HayesMacArthur RickOverton AshleyRickards CedrictheEntertainer DaveSheridan MissiPyle GabrielIglesias SteeleStebbins"
A Little Thing Called First Love,"['romance', 'drama']",8.0/10,A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery. romance drama LaiKuan-lin ZhaoJinmai WangRunze ChaiWei WangBowen
A Love So Beautiful,"['romance', 'drama']",8.0/10,"The ups and downs of school, family and growing up test the affection between a budding artist and her handsome but indifferent classmate and neighbor. romance drama HuYitian ShenYue GaoZhiTing WangZiWei ZhangHeHaoZhen SunNing MonicaLv"
A Monster Calls,"['sci-fi', 'fantasy', 'drama']",7.6/10,"Overwhelmed by his motherâ€™s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster. sci-fi fantasy drama LewisMacDougall SigourneyWeaver FelicityJones LiamNeeson TobyKebbell BenMoor JamesMelville OliverSteer DominicBoyle GeraldineChaplin JenniferLim"
A Silent Voice,"['animation', 'drama']",8.1/10,A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right. animation drama MiyuIrino SaoriHayami AoiYuki KenshoOno YukiKaneko YuiIshikawa MegumiHan ToshiyukiToyonaga MayuMatsuoka
A Whisker Away,"['animation', 'family', 'drama']",6.5/10,"A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur. animation family drama MiraiShida NatsukiHanae HiroakiOgi KoichiYamadera MinakoKotobuki SusumuChiba AyakoKawasumi SayakaOhara DaisukeNamikawa"
Aagey Se Right,"['musical', 'comedy', 'drama']",4.9/10,"A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it. musical comedy drama ShreyasTalpade KayKayMenon ShivPandit SanjaySharma ShenazTreasury MahieGill"
Aakhri Adaalat,"['action', 'adventure', 'drama']",5.4/10,An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality. action adventure drama VinodKhanna DimpleKapadia JackieShroff Sonam VinodMehra ShafiInamdar GulshanGrover RoopeshKumar
ABCD 2,"['musical', 'drama']",5.3/10,"After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship. musical drama PrabhuDeva VarunDhawan ShraddhaKapoor LaurenGottlieb SushantPujari PunitPathak DharmeshYelande RaghavJuyal"
ABCD: Any Body Can Dance,['drama'],6.1/10,"Thrown out of the elite dance studio he founded, Vishnu's spirits rebound when he sees young street dancers prepping for an annual contest. drama PrabhuDeva KayKayMenon GaneshAcharya DharmeshYelande Salman LaurenGottlieb NoorinSha PunitPathak"
Abduction,"['action', 'adventure']",5.3/10,"When a teen comes across his own childhood photo on a missing persons website, he begins to question everything he's ever known. action adventure TaylorLautner LilyCollins AlfredMolina JasonIsaacs MariaBello SigourneyWeaver MichaelNyqvist DermotMulroney NickolaShreli ElisabethRÃ¶hm"
Action Replayy,"['comedy', 'family', 'drama']",4.0/10,"Sick of his parentsâ€™ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss. comedy family drama AkshayKumar AishwaryaRaiBachchan OmPuri KironKher NehaDhupia RannvijaySingh AdityaRoyKapur SudeepaSingh RandhirKapoor RajpalYadav"
After,"['romance', 'drama']",5.5/10,"Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott. romance drama JosephineLangford HeroFiennesTiffin SelmaBlair InannaSarkis ShanePaulMcGhie PiaMia KhadijhaRedThunder DylanArnold SamuelLarsen JenniferBeals PeterGallagher"
After Life,"['comedy', 'drama']",8.4/10,"Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help. comedy drama RickyGervais TomBasden TonyWay DianeMorgan MandeepDhillon DavidBradley AshleyJensen KerryGodliman"
Agneepath,['drama'],7.8/10,"A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs. drama AmitabhBachchan MithunChakraborty DannyDenzongpa Madhavi Neelam AlokNath RohiniHattangadi TinnuAnand VikramGokhale ArchanaPuranSingh"
After We Collided,"['romance', 'drama']",5.4/10,"Tessa fell hard and fast for Hardin, but after a betrayal tears them apart, she must decide whether to move on â€” or trust him with a second chance. romance drama JosephineLangford HeroFiennesTiffin DylanSprouse SelmaBlair LouiseLombard ShanePaulMcGhie CandiceKing CharlieWeber KhadijhaRedThunder InannaSarkis PiaMia SamuelLarsen DylanArnold KarimahWestbrook RobEstes"
Aiyaary,"['action', 'adventure', 'drama']",5.5/10,"When his protÃ©gÃ© goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs. action adventure drama SidharthMalhotra ManojBajpayee RakulPreetSingh PoojaChopra AdilHussain KumudMishra NaseeruddinShah AnupamKher VikramGokhale JuhiBabbar"
Aiyyaa,"['musical', 'comedy', 'drama']",4.2/10,"An outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage. musical comedy drama RaniMukerji PrithvirajSukumaran NirmitiSawant SubodhBhave JyotiSubhash SatishAlekar AnitaDate AmeyWagh KishoriBalal PakodaPandi"
AK vs AK,"['comedy', 'drama']",6.8/10,"After a public spat with a movie star, a disgraced director retaliates by kidnapping the actorâ€™s daughter, filming the search for her in real time. comedy drama AnilKapoor AnuragKashyap"
Ajab Prem Ki Ghazab Kahani,"['musical', 'comedy', 'drama']",6.6/10,"A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart. musical comedy drama RanbirKapoor KatrinaKaif GovindNamdeo DarshanJariwala ZakirHussain SmitaJaykar NavneetNishan DollyBindra UpenPatel"
Ala Vaikunthapurramuloo,"['comedy', 'action', 'adventure', 'drama']",7.3/10,"After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaireâ€™s son. comedy action adventure drama AlluArjun PoojaHegde Tabu Sushanth NivethaPethuraj Jayaram MurliSharma"
Ajeeb Daastaans,['drama'],6.8/10,Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships. drama FatimaSanaShaikh JaideepAhlawat ArmaanRalhan NushratBharucha AbhishekBanerjee InayatVerma KonkonaSenSharma AditiRaoHydari ShefaliShah ManavKaul TotaRoyChowdhury
Alexa & Katie,"['comedy', 'family']",7.6/10,"Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school â€“ and ready for whatever comes next. comedy family ParisBerelc IsabelMay TiffaniThiessen EmeryKelly JolieJenkins KerriMedders FinnCarr EddieShin"
Alice in Borderland,"['action', 'adventure', 'mystery', 'drama']",7.6/10,"An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive. action adventure mystery drama KentoYamazaki TaoTsuchiya NijiroMurakami YukiMorinaga KeitaMachida AyakaMiyoshi DoriSakurada AyaAsahina ShuntaroYanagi YutaroWatanabe AyameMisaki MizukiYoshida TsuyoshiAbe NobuakiKaneko ShoAoyagi RiisaNaka"
All Because of You,"['comedy', 'action', 'adventure', 'drama']",4.3/10,"After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place. comedy action adventure drama HairulAzreen JannaNick AmerulAffendi HenleyHii NamRon TheebaanGovindasamy TaufiqHanafi HafizulKamal JosiahHogan SophiaAlbarakbah SugeetaChandran AnnaJobling"
All Day and a Night,['drama'],5.7/10,"While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime. drama JeffreyWright AshtonSanders ReginaTaylor YahyaAbdul-MateenII IsaiahJohn KellyJenrette ShakiraJa-naiPaye"
"All's Well, End's Well (2009)","['comedy', 'romance', 'drama']",5.0/10,"Bound by a family rule that forbids him from marrying until his stubborn sister gets hitched, a bachelor enlists the help of a love guru to woo her. comedy romance drama LouisKoo SandraNgKwanYue RaymondWong RonaldCheng YaoChen GuoTao HeungKamLee ChunChauHa MikiShum"
American Assassin,"['action', 'adventure']",6.1/10,"After grad student Mitch Rapp suffers a tragic loss during a terrorist attack, his single-minded thirst for vengeance catches the interest of the CIA. action adventure DylanO'Brien MichaelKeaton SanaaLathan ShivaNegar TaylorKitsch TrevorWhite NavidNegahban ScottAdkins DavidSuchet SydneyRaeWhite"
Amrapali,"['musical', 'drama']",6.5/10,"In the age of Buddha and his philosophy of nonviolence, a warmonger king plots the destruction of an enemy kingdom to rescue the woman he loves. musical drama Vyjayantimala SunilDutt PremNath BipinGupta GajananJagirdar ZulVellani K.N.Singh Randhir"
Anaamika,"['thriller', 'drama']",5.7/10,"As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests thereâ€™s more to the mystery than meets the eye. thriller drama Nayantara VaibhavReddy Pasupathy HarshvardhanRane ThagubothuRamesh VinayVarma DheerCharanSrivastav D.NarsinghRao"
Andaz Apna Apna,"['comedy', 'action', 'adventure', 'drama']",8.1/10,"Broke and with no concrete plans for the future, two young men discover that a stunning heiress lives nearby and try to charm her into marriage. comedy action adventure drama AamirKhan SalmanKhan RaveenaTandon KarismaKapoor PareshRawal Mehmood DevenVerma Jagdeep ShaktiKapoor"
Andhadhun,"['comedy', 'drama']",8.3/10,A visually impaired pianistâ€™s world careens into a series of shocking twists after he unintentionally lands at the murder scene of a former film star. comedy drama Tabu AyushmannKhurrana RadhikaApte AnilDhawan ManavVij ZakirHussain AshwiniKalsekar ChhayaKadam PawanSingh KabirSajid
Angel Has Fallen,"['action', 'adventure']",6.3/10,Secret Service agent Mike Banning is caught in the crossfire when heâ€™s framed for a deadly attack on the president and forced to run for his life. action adventure GerardButler MorganFreeman NickNolte DannyHuston JadaPinkettSmith LanceReddick TimBlakeNelson PiperPerabo
Angry Birds,"['comedy', 'family']",6.3/10,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal. comedy family AnttiPÃ¤Ã¤kkÃ¶nen HeljÃ¤Heikkinen LynneGuaglione PasiRuohonen RaunoAhonen"
Anjaan,"['action', 'adventure', 'drama']",5.0/10,"Mild-mannered Krishna comes to Mumbai to search for his gang-leader brother, and quickly finds himself in way over his head. action adventure drama Suriya SamanthaRuthPrabhu VidyutJammwal ManojBajpayee Soori"
Attack on Titan,"['animation', 'drama']",9.0/10,"With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race. animation drama YukiKaji YuiIshikawa MarinaInoue KishoTaniyama YuShimamura YuKobayashi ShioriMikami HiroShimono RyotaOsaka YoshimasaHosoya TomohisaHashizume SakiFujita HiroshiKamiya DaisukeOno RomiPark KeijiFujiwara KazuhiroYamaji YusakuYara TakehitoKoyasu"
Ankhon Dekhi,['drama'],7.9/10,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions. drama SanjayMishra SeemaPahwa RajatKapoor TaranjitKaur MayaSarao ChandrachoorRai NamitDas BrijendraKala AlkaChawla ManuRishiChadha"
Arjun: The Warrior Prince,"['action', 'adventure', 'drama']",6.7/10,This animated retelling of the classic Indian tale of Prince Arjun â€“ part of the Sanskrit epic Mahabharata â€“ begins during the prince's youth. action adventure drama YudhveerBakoliya AshokBanthia RaviKhanwilkar VijayKashyap IlaArun SachinKhedekar RajeshwariSachdev HemanthMahaur
Army of the Dead,"['horror', 'action', 'adventure']",5.7/10,"After a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone for the greatest heist ever. horror action adventure DaveBautista EllaPurnell OmariHardwick GarretDillahunt AnadelaReguera TheoRossi MatthiasSchweighÃ¶fer NoraArnezeder HiroyukiSanada TigNotaro RaÃºlCastillo HumaQureshi SamanthaWin RichardCetrone MichaelCassidy"
Aurora,"['horror', 'drama']",4.4/10,A fatal shipwreck spurs an islander innkeeper and her sister to recover the missing victims' bodies â€“ until the dead come seeking shelter themselves. horror drama AnneCurtis PhoebeVillamor MercedesCabral AllanPaule AndreaDelRosario MarcoGumabao ArnoldReyes RicardoCepeda RubyRuiz SuePrado
Avatar: The Last Airbender,"['adventure', 'action', 'family', 'drama']",9.3/10,"Siblings Katara and Sokka wake young Aang from a long hibernation and learn he's an Avatar, whose air-bending powers can defeat the evil Fire Nation. adventure action family drama ZachTyler MaeWhitman JackDeSena DeeBradleyBaker DanteBasco JessieFlower MakoIwamatsu"
Baadshaho,"['action', 'adventure', 'drama']",5.0/10,"In 1975, during the government-declared Emergency, thief Bhawani and his crew plan a daring robbery to reclaim his royal lover's seized treasures. action adventure drama AjayDevgn EmraanHashmi VidyutJamwal IleanaD'Cruz EshaGupta SanjayMishra SunnyLeone SharadKelkar PriyanshuChatterjee DenzilSmith"
Baaghi,"['action', 'adventure', 'drama']",5.3/10,A martial artist faces his biggest test when he has to travel to Bangkok to rescue the woman he loves from the clutches of his romantic rival. action adventure drama TigerShroff ShraddhaKapoor SudheerBabu ParasArora SunilGrover SouravChakraborty ShauryaBhardawaj
Baahubali 2: The Conclusion (Hindi Version),"['action', 'adventure', 'drama']",8.1/10,"To avenge his father's death, a young man leads an army into battle against a cruel tyrant in this Hindi conclusion to the historic saga. action adventure drama Prabhas RanaDaggubati AnushkaShetty TamannaahBhatia Sathyaraj RamyaKrishnan Nassar Subbaraju"
Baahubali: The Beginning (Hindi Version),"['action', 'adventure', 'drama']",8.1/10,Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Hindi version of S.S. Rajamouli's epic. action adventure drama Prabhas RanaDaggubati AnushkaShetty TamannaahBhatia Sathyaraj Nassar RamyaKrishnan Sudeep
Baazaar,['drama'],6.7/10,"A wide-eyed graduate learns the ugly side of ambition when he joins in the dubious business practices of his idol, a ruthless Mumbai stock tycoon. drama SaifAliKhan ChitrangadaSingh RadhikaApte RohanVinodMehra ManishChaudhary DenzilSmith PawanChopra DeepakGheewala UtkarshMazumdar DanishHussain"
Bad Blood,"['crime', 'drama']",7.4/10,"This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades. crime drama AnthonyLaPaglia KimCoates EnricoColantoni PaulSorvino MaximRoy BrettDonahue MichelleMylett ClaudiaFerri TonyNappo"
Badla,"['thriller', 'drama']",7.9/10,"When a woman is accused of killing her lover, a renowned lawyer is hired â€“ but the more they try to untangle the truth, the more convoluted it becomes. thriller drama AmitabhBachchan TaapseePannu AmritaSingh TonyLuke ManavKaul"
Bareilly Ki Barfi,"['comedy', 'drama']",7.6/10,"When she falls in love with the author of a novel she adores, bohemian Bitti enlists the help of a local printer to find her new object of affection. comedy drama AyushmannKhurrana KritiSanon RajkummarRao PankajTripathi SeemaPahwa RohitChaudhury SwatiSemwal"
Barfi!,"['comedy', 'drama']",8.0/10,"Years after rejecting Barfii, a hearing and speech impaired young man, for a more ""appropriate"" suitor, Shruti finds herself falling for him. comedy drama RanbirKapoor PriyankaChopra IleanaD'Cruz SaurabhShukla AshishVidyarthi RupaGanguly BholarajSapkota JishuSengupta HaradhanBannerjee"
Batman: The Killing Joke,"['action', 'adventure']",6.3/10,The Joker makes life hell for the Gordon family in a monstrous attempt to prove to Batman that one bad day can drive a good man to madness. action adventure KevinConroy MarkHamill TaraStrong RayWise JohnDiMaggio RobinAtkinDownes BrianGeorge JPKarliak AndrewKishino NolanNorth
Beauty & the Beast,"['crime', 'romance', 'drama']",7.0/10,A homicide detective and a veteran who has been turned into a beast by a military experiment gone awry become allies after they meet by chance. crime romance drama KristinKreuk JayRyan MaxBrown AustinBasis NinaLisandrello BrianWhite SendhilRamamurthy
Because This Is My First Life,"['romance', 'drama']",8.1/10,"Two housemates get married for financial convenience, but discover nothing is simple when it comes to demanding in-laws, or facing their growing bond. romance drama LeeMin-ki JungSo-min Esom KimGa-eun ParkByung-eun KimMin-seok MoonHee-kyung KimByung-ok KimSun-young"
Bhavesh Joshi Superhero,"['sci-fi', 'fantasy', 'drama']",7.7/10,"When his best friend is killed for uncovering political corruption, an idealistic young man decides to become a masked fighter for justice. sci-fi fantasy drama HarshvardhanKapoor PriyanshuPainyuli AshishVerma ShreiyaSabharwal PratapPhad ChinmayeeMandlekar NishikantKamat HrishikeshJoshi"
Bheeshma,"['comedy', 'action', 'adventure', 'drama']",6.5/10,"Tired of being single, a smart-aleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed CEO of her workplace. comedy action adventure drama NitinReddy RashmikaMandanna SampathRaj JishuSengupta AnantNag"
Berserk: The Golden Age Arc I - The Egg of the King,"['action', 'adventure', 'drama', 'animation']",7.7/10,"Loner Guts is recruited by Griffith and his band of mercenaries, but their ensuing success as a full-fledged army could lead to a horrible fate. action adventure drama animation HiroakiIwanaga TakahiroSakurai ToaYukinari YukiKaji MinakoKotobuki TakahiroFujiwara YoshiroMatsumoto KazukiYao AkiToyosaki RikiyaKoyama KentaMiyake"
Berserk: The Golden Age Arc II - The Battle for Doldrey,"['action', 'adventure', 'drama', 'animation']",7.9/10,"For three years, Guts believed his mission was to pursue Griffith's dream together with him. But in order to become Griffith's equal and truly be called his friend, Guts realizes he will have to leave the Band of the Hawk. action adventure drama animation HiroakiIwanaga TakahiroSakurai ToaYukinari YukiKaji MinakoKotobuki TakahiroFujiwara YoshiroMatsumoto KazukiYao AkiToyosaki RikiyaKoyama KentaMiyake NobuyukiKatsube HouchuOhtsuka TakayukiSugo"
Berserk: The Golden Age Arc III - The Advent,"['action', 'adventure', 'drama', 'animation']",7.8/10,"A year after he left the Band of the Hawk, Guts rejoins them in an epic battle to vanquish the God Hand and save Griffith from a hellish fate. action adventure drama animation HiroakiIwanaga TakahiroSakurai ToaYukinari YukiKaji YoshiroMatsumoto MinakoKotobuki TakahiroFujiwara KazukiYao YuichiNakamura AkiToyosaki AkioOtsuka"
Bird Box,"['sci-fi', 'fantasy', 'thriller', 'drama']",6.7/10,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety. sci-fi fantasy thriller drama SandraBullock TrevanteRhodes JohnMalkovich SarahPaulson BDWong JackiWeaver RosaSalazar DanielleMacdonald LilRelHowery TomHollander"
Beyblade Burst,"['animation', 'family']",6.5/10,"Middle schooler Valt Aoi, with his Beyblade Valtryek, faces off against friends, classmates and rivals to become the world's number one Blader. animation family MarinaInoue JunyaEnoki FumihiroOkabayashi TsubasaYonaga AyahiTakagaki YuKobayashi"
Beyond the Clouds,['drama'],7.1/10,A youthful drug dealer in Mumbai must change his ways when the sister who raised him is assaulted by her boss and imprisoned for defending herself. drama IshaanKhattar MalavikaMohanan GoutamGhose Sharada TannishthaChatterjee ShashankShende HemaSingh AkashGopal
Black Friday,['drama'],8.6/10,This docudrama based on the same-titled book tracks the aftermath of a 1993 bombing in Bombay through the eyes of a journalist covering the story. drama PavanMalhotra KayKayMenon AdityaSrivastava DibyenduBhattacharya KishoreKadam GajrajRao ZakirHussain ImtiazAli PratimaKazmi RajArjun
Black,"['action', 'adventure', 'drama']",4.1/10,"A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime. action adventure drama SohamChakraborty BidyaSinhaMim AshishVidyarthi RajatabhaDutta RudranilGhosh KharajMukherjee"
BLACKPINK: Light Up the Sky,"['musical', 'documentary']",7.6/10,Record-shattering Korean girl band BLACKPINK tell their story â€” and detail the hard-fought journey of the dreams and trials behind their meteoric rise. musical documentary Blackpink
Black Summer,"['horror', 'action', 'adventure', 'drama']",6.6/10,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones. horror action adventure drama JaimeKing JustinChuCary ChristineLee SalVelezJr. KelseyFlower ErikaHau EdssonMorales GwynythWalsh StaffordPerry MustafaAlabssi"
Blind Date,"['musical', 'comedy', 'drama']",6.7/10,"A passionate pianist and a soulful puzzle maker who treasures silence aren't the best neighbors, but things get interesting when they start to date. musical comedy drama MÃ©lanieBernier ClovisCornillac LilouFogli PhilippeDuquesne GrÃ©goireOestermann OscarCopp BorisTerral ManuPayet"
Blind Detective,"['comedy', 'action', 'adventure', 'drama']",6.3/10,"When a cop loses his vision, his detecting skills stay sharp. Luckily, a rookie officer recognizes his extraordinary powers of deduction. comedy action adventure drama AndyLau SammiCheng GaoYuanyuan GuoTao PhilipKeung LamSuet LoHoi-pang Tai-LoMa Man-WaiWong Ying-YingYiu YiZi"
Blind Intersections,['drama'],6.9/10,This film follows the societal challenges three strangers in Beirut go through as unexpected events link their fates. drama AlaaHammoud GhidaNouri CaroleHajj ChadiHaddad LeilaHakim CharbelZiade NibalArakji CarolineHatem JosyaneBoulos MarioBassil
Bloodline,"['thriller', 'mystery', 'drama']",7.8/10,"When the black sheep son of a respected family threatens to expose dark secrets from their past, sibling loyalties are put to the test. thriller mystery drama KyleChandler BenMendelsohn SissySpacek LindaCardellini NorbertLeoButz JacindaBarrett JamieMcShane JohnLeguizamo EnriqueMurciano SamShepard ChloÃ«Sevigny AndreaRiseborough BeauBridges TaylorRouviere OwenTeague BrandonLarracuente"
Bobby Jasoos,"['comedy', 'drama']",5.6/10,"With unlimited determination and zero field experience, a small-town detective accepts a lucrative case from a mysterious â€“ and suspicious â€“ stranger. comedy drama VidyaBalan AliFazal SupriyaPathak TanviAzmi ZarinaWahab KiranKumar RajendraGupta ArjanBajwa PrasadBarve AakashDahiya"
BluffMaster!,"['comedy', 'romance', 'drama']",6.8/10,"When his girlfriend learns the truth about his murky past, a con artist is forced to examine his choices and get to the root of his real identity. comedy romance drama AbhishekBachchan PriyankaChopra RiteishDeshmukh BomanIrani NanaPatekar SanjayMishra TinnuAnand HussainShaikh"
Bodyguard,"['crime', 'drama']",8.0/10,"After helping thwart a terrorist attack, a war veteran is assigned to protect a politician who was a main proponent of the very conflict he fought in. crime drama RichardMadden KeeleyHawes GinaMcKee SophieRundle VincentFranklin PippaHaywood PaulReady TomBrooke NicholasGleaves StuartBowman"
